enerProc,enerSol,SF,enerHPump_util,enerHPump_excess,enerCald_util,enerCald_excess,ElectrHPump,HPumpF,CaldF,enerPeak,enerSto
190335.8763538802,2678.512573691027,1.4072557549324163,8760.0,0.0,6570.0,0.0,4380.0,4.602390346900787,3.4517927601755907,2678.512573691027,0.0
179349.28273848715,2677.7067520789037,1.4930122447065053,8760.0,0.0,6570.0,0.0,4380.0,4.884323966197922,3.663242974648441,2677.7067520789037,0.0
197307.55981803566,2678.9709907696574,1.3577639869654785,8760.0,0.0,6570.0,0.0,4380.0,4.439769063120945,3.329826797340709,2678.9709907696574,0.0
202170.20239638712,2679.2760005415457,1.3252576140218701,8760.0,0.0,6570.0,0.0,4380.0,4.332982752237946,3.2497370641784595,2679.2760005415457,0.0
172885.8832097565,2677.1956063316084,1.5485333774091081,8760.0,0.0,6570.0,0.0,4380.0,5.066926134953306,3.800194601214979,2677.1956063316084,0.0
151178.4410789353,2675.1463443043003,1.7695289918405213,8760.0,0.0,6570.0,0.0,4380.0,5.79447700180088,4.3458577513506595,2675.1463443043003,0.0
171035.07757842483,2677.035194125391,1.565196585418502,8760.0,0.0,6570.0,0.0,4380.0,5.121756381221432,3.841317285916074,2677.035194125391,0.0
179613.2257594415,2677.7270929165684,1.49082957649393,8760.0,0.0,6570.0,0.0,4380.0,4.877146414447448,3.6578598108355855,2677.7270929165684,0.0
165820.6154795004,2676.5868731580094,1.6141460248583521,8760.0,0.0,6570.0,0.0,4380.0,5.282817202595027,3.96211290194627,2676.5868731580094,0.0
167776.39643510367,2676.754585978582,1.5954297760912735,8760.0,0.0,6570.0,0.0,4380.0,5.221235040286724,3.915926280215044,2676.754585978582,0.0
162761.47903697088,2676.301744794089,1.6443090592622185,8760.0,0.0,6570.0,0.0,4380.0,5.382108869882036,4.036581652411527,2676.301744794089,0.0
137077.7927671813,2673.4899595422066,1.9503450599638519,8760.0,0.0,6570.0,0.0,4380.0,6.390531845576442,4.792898884182331,2673.4899595422066,0.0
119013.21676655422,2670.8368879717113,2.244151498913426,8760.0,0.0,6570.0,0.0,4380.0,7.3605270389278195,5.520395279195864,2670.8368879717113,0.0
118368.29324337804,2670.720026902801,2.2562799156117856,8760.0,0.0,6570.0,0.0,4380.0,7.400630489778619,5.550472867333965,2670.720026902801,0.0
117007.9715199979,2670.4862451859026,2.2823113763060907,8760.0,0.0,6570.0,0.0,4380.0,7.486669400556887,5.615002050417665,2670.4862451859026,0.0
115820.22792570328,2670.277917857645,2.305536749220165,8760.0,0.0,6570.0,0.0,4380.0,7.563445657885764,5.672584243414323,2670.277917857645,0.0
114465.45822753884,2670.043406042613,2.3326193310954975,8760.0,0.0,6570.0,0.0,4380.0,7.652963728661738,5.739722796496303,2670.043406042613,0.0
110389.09268683472,2669.272018390491,2.418057756813899,8760.0,0.0,6570.0,0.0,4380.0,7.935566627811173,5.95167497085838,2669.272018390491,0.0
95669.19344130316,2666.0160804878574,2.78670278758393,8760.0,0.0,6570.0,0.0,4380.0,9.156552579670912,6.867414434753185,2666.0160804878574,0.0
79538.21419913096,2661.1948680588926,3.34580666017514,8760.0,0.0,6570.0,0.0,4380.0,11.013573900551204,8.260180425413404,2661.1948680588926,0.0
71698.25571666431,2658.164161115089,3.707432118878271,8760.0,0.0,6570.0,0.0,4380.0,12.217870452270956,9.163402839203217,2658.164161115089,0.0
