,enerProc,enerSol,SF
1,332.4690291137695,256.68020443453787,77.20424519503227
2,292.74002563476563,200.0760815113069,68.34599439467495
3,326.1960285644531,163.3759974936485,50.085219679910054
4,305.9830267944336,86.67145045218466,28.32557457849207
5,332.4690291137695,33.37052191152573,10.03718211000835
6,312.95302740478513,16.28977720117569,5.205182814897611
7,319.22602795410154,26.443951160860063,8.283770383742702
8,332.4690291137695,54.888991551589974,16.509505170422113
9,299.7100262451172,101.85822028167247,33.98558985756718
10,332.4690291137695,159.1137082947135,47.858204633029274
11,319.22602795410154,207.09154359855657,64.87301330840488
12,312.95302740478513,235.97435461940782,75.40248342579213
