ID.ton_emision.n_equip.raz_social.nombre.rubro.ciiu4.region.provincia.comuna.huso.coord_norte.coord_este.Latitud.Longitud.max_emision.orden.catg.x.y.pt_size.clr
669.7586,09.3.SOC PESQUERA LANDES SOCIEDAD ANONIMA.PESQUERA LANDES ISLA ROCUANT.Pesca.ELABORACIÓN Y CONSERVACIÓN DE PESCADO Y PRODUCTO DE PESCADO.Biobío.Concepción.Talcahuano.18,0.5933563,0.669341,0.-36,72855431131448.-73,10360010969495.3858,01.1.13.-8137855,53936634.-4401337,9959447505.8,934071586138394.#e377c2
742.78105,929.2.EAGON  LAUTARO S A."EAGON LAUTARO S.A.".Industria agropecuaria y silvicultura.FABRICACIÓN DE HOJAS DE MADERA PARA ENCHAPADO; FABRICACIÓN DE TABLEROS CONTRACHAPADOS, TABLERO LAMINADO, TABLEROS DE PARTÍCULAS Y OTROS TABLEROS Y PANELES.Araucanía.Cautín.Lautaro.18,0.5731629,0.721339,0.-38,53623372025705.-72,46056194415767.45848,389.1.3.-8066272,858218091.-4655457,078678304.11,2658212484393.#ff7f0e
796.2892,3199999999997.2.FRIGORIFICO DE OSORNO S A."FRIGORIFICO DE OSORNO S.A".Producción de alimentos.PRODUCCIÓN, PROCESAMIENTO Y CONSERVACIÓN DE CARNE Y PRODUCTOS CÁRNICOS.Los Lagos.Osorno.Osorno.18,0.5506028,0.656820,0.-40,58168747666417.-73,14706481033512.2748,7.1.2.-8142694,007709087.-4950835,089672365.7,969814227226544.#aec7e8
831.1512,77459.2.EXTRACTOS NATURALES GELYMAR S A."EXTRACTOS NATURALES GELYMAR S.A.".Industria manufacturera.EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS.Los Lagos.Llanquihue.Calbuco.18,0.5396003,0.650314,0.-41,573528397758935.-73,19702455370646.784,304.1.6.-8148255,500901346.-5097308,603064553.7,321700720534753.#98df8a
835.1819,548.2.PRODUCTORA DE AGAR S A."PROAGAR S.A.".Industria manufacturera.ELABORACIÓN Y CONSERVACIÓN DE PESCADO Y PRODUCTO DE PESCADO.Los Lagos.Llanquihue.Llanquihue.18,0.5429818,0.667378,0.-41,26573259717678.-73,00181676933052.1474,46.1.6.-8126525,069745733.-5051616,52721366.7,506343397578112.#98df8a
1358.1994,5844081999999.2."LABORATORIO MAVER S.A.".ELIAS ALBALA FRANCO LABORATORIO MAVER LIMITADA.Producción química.FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS PRODUCTOS BOTÁNICOS.Metropolitana.Chacabuco.Lampa.19,0.6311448,0.338250,0.-33,323978579186964.-70,7377780277442.1074,005582.1.14.-7874493,4298961.-3938386,079687365.7,598190990931299.#f7b6d2
1390.1610,544.3.EMPRESA EL MERCURIO S A P.EL MERCURIO.Industria manufacturera."OTRAS ACTIVIDADES DE SERVICIOS N.C.P.".Metropolitana.Santiago.Vitacura.19,0.6305007,0.351883,0.-33,38401543772755.-70,59241929280346.751,6080000000001.1.6.-7858312,169540143.-3946387,224769582.7,384327289105904.#98df8a
1521.2388,1987.3.HILADOS Y TEJIDOS GARIB SA."HILADOS Y TEJIDOS GARIB S.A.".Industria manufacturera.PREPARACIÓN DE HILATURA DE FIBRAS TEXTILES; TEJEDURA DE PRODUCTOS TEXTILES.Metropolitana.Santiago.Ñuñoa.19,0.6294875,0.349218,0.-33,47499599552571.-70,62276055345983.1917,43.1.6.-7861689,743226436.-3958522,7926533385.7,778294678756116.#98df8a
1573.1009,8330000000001.3.COMERCIAL ALAMEDA LIMITADA.COMERCIAL ALAMEDA.Industria manufacturera.ACABADO DE PRODUCTOS TEXTIL.Metropolitana.Santiago.Macul.19,0.6294359,0.349722,0.-33,47971918087428.-70,61742471047764.920,787.1.6.-7861095,759902705.-3959153,1489010616.6,917540249629407.#98df8a
1643.3121,744.2.LABORATORIO SANDERSON SA.LABORATORIO SANDERSON.Producción de alimentos.FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS PRODUCTOS BOTÁNICOS.Metropolitana.Santiago.San Joaquín.19,0.6295008,0.348701,0.-33,47372389985964.-70,62830027021954.3028,67.1.2.-7862306,421675266.-3958353,024658.8,04614709899453.#aec7e8
1673.1052,154.2.TINTORERIA KREISEL S A I."TINTORERIAS KREISEL S.A.I.".Industria manufacturera.ACABADO DE PRODUCTOS TEXTIL.Metropolitana.Santiago.San Joaquín.19,0.6293373,0.349645,0.-33,488598204945056.-70,61841853089106.1029,69.1.6.-7861206,391485068.-3960338,236362724.6,958594770416702.#98df8a
1802.1372,46.1.QUIMETAL INDUSTRIAL S A."QUIMETAL INDUSTRIAL S.A.".Producción química.FABRICACIÓN DE SUSTANCIAS QUÍMICAS BÁSICAS, EXCEPTO ABONOS Y COMPUESTOS DE NITRÓGENO.Metropolitana.Santiago.Maipú.19,0.6288665,0.338689,0.-33,52944709235957.-70,73715123251789.1372,46.1.14.-7874423,655370676.-3965791,922559464.7,224360029060998.#f7b6d2
1903.7374,02688.8.DYNAL INDUSTRIAL S A."DYNAL INDUSTRIAL S.A.".Industria del papel y celulosa.FABRICACIÓN DE OTROS PRODUCTOS MINERALES NO METÁLICOS.Metropolitana.Santiago.Estación Central.19,0.6296332,0.342359,0.-33,460871780479245.-70,69629556362032.1550,09.1.16.-7869875,62311298.-3956637,98009672.8,905719224027479.#c7c7c7
1974.1085,1285.2.EVERCRISP SNACK PRODUCTOS DE CHILE S A."EVERCRISP SNACK PROD. DE CHILE S.A.".Producción de alimentos.ELABORACIÓN DE PRODUCTOS DE MOLINERÍA.Metropolitana.Santiago.Cerrillos.19,0.6292972,0.340396,0.-33,490873489035735.-70,7180081231942.1007,14.1.2.-7872292,654188562.-3960641,9391418383.6,989453692141628.#aec7e8
1982.7266,622222.1.IMPRESOS Y CARTONAJES S A."IMICAR S.A.".Industria del papel y celulosa.FABRICACIÓN DE PAPEL Y CARTÓN ONDULADO Y DE ENVASES DE PAPEL Y CARTÓN.Metropolitana.Santiago.Cerrillos.19,0.6293313,0.341505,0.-33,48796405598023.-70,70601496263968.7266,622222.1.16.-7870957,5816626325.-3960253,5921775824.8,891046843851834.#c7c7c7
2048.6580,538921.1."CAFFARENA S.A."."TEJIDOS CAFFARENA S.A".Industria manufacturera.PREPARACIÓN DE HILATURA DE FIBRAS TEXTILES; TEJEDURA DE PRODUCTOS TEXTILES.Metropolitana.Santiago.Maipú.19,0.6290238,0.338957,0.-33,515306192601045.-70,73398321183076.6580,538921.1.6.-7874070,992920962.-3963903,6965381103.8,791871923853043.#98df8a
2059.5305,671968.2."CONSORCIO INDUSTRIAL DE ALIMENTOS S.A.".PLANTA 1 CIAL.Producción de alimentos.PRODUCCIÓN, PROCESAMIENTO Y CONSERVACIÓN DE CARNE Y PRODUCTOS CÁRNICOS.Metropolitana.Santiago.Pudahuel.19,0.6303984,0.335762,0.-33,39089401585678.-70,76585598839876.5304,95.1.2.-7877619,054178679.-3947304,289222537.8,57653170994451.#aec7e8
