ID,ton_emision,n_equip,raz_social,nombre,rubro,ciiu4,region,provincia,comuna,huso,coord_norte,coord_este,Latitud,Longitud,max_emision,orden,catg,x,y,pt_size,clr
5403528,20578.71,3,VITAPRO CHILE S.A.,CENTRAL SALMOFOOD,Producción de alimentos,ELABORACIÓN DE ALIMENTOS PREPARADOS PARA ANIMALES,Los Lagos,Chiloé,Castro,18.0,5308076.0,601976.0,-42.372907719832355,-73.76141901319859,20118.3,1,2,-8211083.604738555,-5217003.927651571,9.932012325207685,#aec7e8
5440322,6246.6900000000005,3,MINERA ANTUCOYA,MINERA ANTUCOYA,Extracción de minerales,EXPLOTACIÓN DE OTRAS MINAS Y CANTERAS N.C.P.,Antofagasta,Antofagasta,Mejillones,19.0,7444843.0,351959.0,-23.098504651212398,-70.44550700563325,2082.23,1,7,-7841957.968541079,-2643935.4635208994,8.739807002442834,#d62728
5440498,3005.29,1,CERVECERIA CHILE S A,CERVECERIA CHILE,Producción de alimentos,"ELABORACIÓN DE BEBIDAS MALTEADAS, CERVEZAS Y MALTAS",Metropolitana,Santiago,Quilicura,19.0,6310038.0,340479.0,-33.337023576395715,-70.71408891328015,3005.29,1,2,-7871856.369736619,-3940124.124483721,8.008129348136547,#aec7e8
5441723,3587.0119999999997,2,COEXCA S A,COEXCA SA,Producción de alimentos,"PRODUCCIÓN, PROCESAMIENTO Y CONSERVACIÓN DE CARNE Y PRODUCTOS CÁRNICOS",Maule,Talca,Maule,19.0,6074804.0,260312.0,-35.441376852957546,-71.64062095502804,3510.7,1,2,-7974997.444827646,-4224025.447455505,8.185074822940681,#aec7e8
5441746,7281.203762,3,REFINERIA DE GRASAS Y ACEITES COMESTIBLES VIACAVA SPA.,REFINERIA DE GRASAS Y ACEITES COMESTIBLES SPA,Producción de alimentos,ELABORACIÓN DE ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL,Metropolitana,Santiago,La Pintana,19.0,6281408.0,346062.0,-33.595962660261996,-70.65903236692826,5096.630952,1,2,-7865727.50303189,-3974677.853533844,8.893051479444686,#aec7e8
5441801,1019.6,1,ENAP REFINERIAS S A,TERMINAL MARÍTIMO DE QUINTERO,Industria manufacturera,FABRICACIÓN DE PRODUCTOS DE REFINACIÓN DE PETRÓLEO,Valparaíso,Valparaíso,Quintero,19.0,6371284.0,266735.0,-32.771635799600375,-71.49033698112856,1019.6,1,6,-7958267.909378767,-3865031.516117451,6.92716567250196,#98df8a
5452037,1753.06,1,EMPRESAS CAROZZI S A,PLANTA CAROZZI VICTORIA,Producción de alimentos,ELABORACIÓN DE PRODUCTOS DE MOLINERÍA,Araucanía,Malleco,Victoria,18.0,5764087.0,732496.0,-38.241183561031974,-72.34340100720728,1753.06,1,2,-8053230.562375909,-4613553.211555864,7.469118111374864,#aec7e8
5452039,3378.1,1,EMPRESAS CAROZZI S A,PLANTA NUTRIPRO LONTUE,Producción de alimentos,ELABORACIÓN DE ALIMENTOS PREPARADOS PARA ANIMALES,Maule,Curicó,Sagrada Familia,19.0,6119250.0,291505.0,-35.04795190948684,-71.28596156521931,3378.1,1,2,-7935516.942149085,-4170399.5279130046,8.125068700245148,#aec7e8
5452040,2518.8720000000003,4,EMPRESAS CAROZZI S A,PLANTA AMBROSOLI REÑACA,Producción de alimentos,ELABORACIÓN DE CACAO Y CHOCOLATE Y DE PRODUCTOS DE CONFITERÍA,Valparaíso,Valparaíso,Viña del Mar,19.0,6347803.0,266234.0,-32.98313900307831,-71.50162170070395,798.715,1,2,-7959524.118615644,-3893066.161850817,7.831566461246538,#aec7e8
5452188,1117.114,3,LUCCHETTI CHILE S.A,FABRICA DE PASTAS,Producción de alimentos,"ELABORACIÓN DE MACARRONES, FIDEOS, ALCUZCUZ Y PRODUCTOS FARINÁCEOS SIMILARES",Metropolitana,Santiago,Macul,19.0,6294629.0,349279.0,-33.47722253873228,-70.62214562449381,668.794,1,2,-7861621.289647065,-3958819.942795718,7.018503852948366,#aec7e8
