,enerProc,enerSol,SF
1,332.46901579143014,276.23766600506735,83.08673978159855
2,292.7400139044039,226.0678508771782,77.22478654762996
3,326.1960154934786,230.32250122772203,70.60861883284613
4,305.98301453341264,168.47599338057893,55.06057048215065
5,332.46901579143014,136.99994736952334,41.206831572981336
6,312.9530148644699,109.71080650330845,35.056638310648886
7,319.2260151624214,122.08541565080942,38.24419372233578
8,332.46901579143014,163.49547569801052,49.17615414742201
9,299.71001423546113,212.6893179799549,70.96503549356206
10,332.46901579143014,260.9674943064736,78.493778942152
11,319.2260151624214,272.39569741283384,85.33004344092683
12,312.9530148644699,285.52942985101515,91.23715583141737
