,enerProc,Meses,Dia,enerSol,enerSol_MW,SF,enerHPump_util,enerHPump_util_MW,enerHPump_excess,HPumpF,enerCald_util,enerCald_util_MW,enerCald_excess,CaldF,ElectrHPump,enerPeak,enerSto
1,325.9612164447908,Enero,1,325.9612164447908,13.581717351866283,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,122.23545616679657,661.0749298442103
2,325.9612164447908,Enero,2,325.9612164447908,13.581717351866283,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,122.23545616679657,667.0817237623153
3,325.9612164447908,Enero,3,325.9612164447908,13.581717351866283,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,122.23545616679657,662.6439977485272
4,325.9612164447908,Enero,4,325.9612164447908,13.581717351866283,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,122.23545616679657,654.6898825517368
5,325.9612164447908,Enero,5,325.9612164447908,13.581717351866283,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,122.23545616679657,650.8729035916363
6,325.9612164447908,Enero,6,325.9612164447908,13.581717351866283,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,122.23545616679657,671.7923451551821
7,325.9612164447908,Enero,7,325.9612164447908,13.581717351866283,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,122.23545616679657,664.7766533769512
8,325.9612164447908,Enero,8,325.9612164447908,13.581717351866283,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,122.23545616679657,629.6687645812169
9,325.9612164447908,Enero,9,325.9612164447908,13.581717351866283,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,122.23545616679657,630.6695436851578
10,325.9612164447908,Enero,10,298.4225008731314,12.434270869713808,91.55153613917018,27.538715571659395,1.1474464821524748,212.4612844283406,8.448463860829811,0.0,0.0,0.0,0.0,120.0,123.6417301653417,194.20085634198853
11,325.9612164447908,Enero,11,325.9612164447908,13.581717351866283,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,122.23545616679657,615.2214458618591
12,325.9612164447908,Enero,12,325.9612164447908,13.581717351866283,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,122.23545616679657,612.3669387206003
