,enerProc,Meses,Dia,enerSol,enerSol_MW,SF,enerHPump_util,enerHPump_util_MW,enerHPump_excess,HPumpF,enerCald_util,enerCald_util_MW,enerCald_excess,CaldF,ElectrHPump,enerPeak,enerSto
1,338.13380370677703,Enero,1,11.36043129010264,0.4733513037542767,3.3597443277082655,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,11.36043129010264,0.0
2,338.13380370677703,Enero,2,11.432228390519825,0.4763428496049927,3.3809776677736805,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,11.432228390519825,0.0
3,338.13380370677703,Enero,3,11.379219776567837,0.4741341573569932,3.365300851859127,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,11.379219776567837,0.0
4,338.13380370677703,Enero,4,11.284082640399431,0.47017011001664294,3.337164908299072,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,11.284082640399431,0.0
5,338.13380370677703,Enero,5,11.238423485305699,0.4682676452210708,3.3236616280611324,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,11.238423485305699,0.0
6,338.13380370677703,Enero,6,11.488638314171542,0.47869326309048094,3.3976603901259934,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,11.488638314171542,0.0
7,338.13380370677703,Enero,7,11.404801831057119,0.47520007629404665,3.372866512023488,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,11.404801831057119,0.0
8,338.13380370677703,Enero,8,10.984798603074609,0.45769994179477536,3.248654373698883,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,10.984798603074609,0.0
9,338.13380370677703,Enero,9,10.996818182658078,0.45820075761075324,3.2522090551450167,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,10.996818182658078,0.0
10,338.13380370677703,Enero,10,5.384302775813845,0.22434594899224355,1.5923586215837227,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,5.384302775813845,0.0
11,338.13380370677703,Enero,11,10.811929127752961,0.4504970469897067,3.1975297971476557,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,10.811929127752961,0.0
12,338.13380370677703,Enero,12,10.77783147921223,0.44907631163384293,3.18744572741936,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,10.77783147921223,0.0
13,338.13380370677703,Enero,13,9.353646207064347,0.38973525862768116,2.7662558740136034,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,9.353646207064347,0.0
14,338.13380370677703,Enero,14,10.711005119691189,0.4462918799871329,3.1676824388074376,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,10.711005119691189,0.0
15,338.13380370677703,Enero,15,11.153115549497453,0.4647131478957272,3.2984325811947555,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,11.153115549497453,0.0
16,338.13380370677703,Enero,16,10.466411383497011,0.4361004743123755,3.0953460638242714,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,10.466411383497011,0.0
17,338.13380370677703,Enero,17,7.568825331849033,0.3153677221603764,2.2384113179090988,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,7.568825331849033,0.0
18,338.13380370677703,Enero,18,10.723857318241146,0.44682738826004775,3.171483359747333,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,10.723857318241146,0.0
19,338.13380370677703,Enero,19,10.999559070112188,0.45831496125467447,3.2530196477045483,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,10.999559070112188,0.0
20,338.13380370677703,Enero,20,10.973868724600159,0.45724453019167327,3.2454219614541944,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,10.973868724600159,0.0
21,338.13380370677703,Enero,21,10.805438528542695,0.4502266053559456,3.195610261407924,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,10.805438528542695,0.0
22,338.13380370677703,Enero,22,10.881755515143917,0.4534064797976632,3.2181803167424103,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,10.881755515143917,0.0
23,338.13380370677703,Enero,23,11.05791710699754,0.46074654612489746,3.270278506844216,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,11.05791710699754,0.0
24,338.13380370677703,Enero,24,11.089767433721825,0.4620736430717427,3.2796979515655447,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,11.089767433721825,0.0
25,338.13380370677703,Enero,25,11.183772882213635,0.46599053675890145,3.3074992087783044,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,11.183772882213635,0.0
26,338.13380370677703,Enero,26,11.190808191171673,0.46628367463215303,3.309579837476445,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,11.190808191171673,0.0
27,338.13380370677703,Enero,27,11.304884189006453,0.4710368412086022,3.343316777286729,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,11.304884189006453,0.0
28,338.13380370677703,Enero,28,11.367330930044865,0.4736387887518694,3.3617848335277327,24.0,1.0,0,7.097781924463349,18.0,0.75,0,5.323336443347512,12.0,11.367330930044865,0.0
