ID,ton_emision,n_equip,raz_social,nombre,rubro,ciiu4,region,provincia,comuna,huso,coord_norte,coord_este,Latitud,Longitud,max_emision,orden,catg,x,y,pt_size,clr
5959,493.884,1,NATURAL RESPONSE S A,NATURAL RESPONSE,Industria manufacturera,"FABRICACIÓN DE OTROS PRODUCTOS DE MADERA; FABRICACIÓN DE ARTÍCULOS DE CORCHO, PAJA Y MATERIALES TRENZABLES",Valparaíso,Marga Marga,Quilpué,19.0,6341866.0,273424.0,-33.038162211348876,-71.42620484997596,493.884,1,6,-7951128.7531953715,-3900370.4548609536,6.202300671800137,#98df8a
6629,6955.5869999999995,3,ROCKWOOD LITIO LIMITADA,PLANTA LA NEGRA,Extracción de minerales,"EXTRACCIÓN DE LITIO Y CLORUROS, EXCEPTO SAL",Antofagasta,Antofagasta,Antofagasta,19.0,7371704.0,366497.0,-23.760229055834607,-70.31007734055306,3707.95,1,7,-7826882.0071860505,-2724218.075753613,8.847300500508524,#d62728
6633,191.345,1,VULCO S A,VULCO PLANTA ANTOFAGASTA,Industria manufacturera,"FABRICACIÓN DE BOMBAS, GRIFOS, VÁLVULAS, COMPRESORES, SISTEMAS HIDRÁULICOS;  SUS REPARACIONES",Antofagasta,Antofagasta,Antofagasta,19.0,7389401.0,358645.0,-23.599752483555694,-70.38542624352559,191.345,1,6,-7835269.808696783,-2704711.5004524845,5.254078081402276,#98df8a
6735,1454.4277,2,COCA COLA EMBONOR S A,PLANTA CONCON,Producción de alimentos,ELABORACIÓN DE BEBIDAS NO ALCOHÓLICAS;,Valparaíso,Valparaíso,Concón,19.0,6353597.0,269260.0,-32.931567640682765,-71.4678129033208,1409.69,1,2,-7955760.540506619,-3886224.23090962,7.282367768896414,#aec7e8
6736,2553.7822000000015,10,CORP NACIONAL DEL COBRE DE CHILE,DIVISION ANDINA EDIFICIO CORPORATIVO,Extracción de minerales,EXTRACCIÓN DE COBRE.,Valparaíso,Los Andes,Los Andes,19.0,6365954.0,349943.0,-32.834208030499504,-70.60325483035335,726.336,1,7,-7859518.376062668,-3873318.4721144377,7.845330754960809,#d62728
6750,1007.861,2,TRESMONTES S.A,TRESMONTES COMPLEJO CASABLANCA,Producción de alimentos,ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,Valparaíso,Valparaíso,Casablanca,19.0,6309597.0,277366.0,-33.32979212506289,-71.39191957009756,655.11,1,2,-7947312.133297603,-3939160.612917582,6.915585542297276,#aec7e8
6760,267435.767,5,ENAP REFINERIAS S A,EMPRESA NACIONAL DEL PETRÓLEO (ENAP),Industria manufacturera,FABRICACIÓN DE PRODUCTOS DE REFINACIÓN DE PETRÓLEO,Valparaíso,Valparaíso,Concón,19.0,6354307.0,265599.0,-32.9243901043317,-71.50675531085395,63240.209,1,6,-7960095.5894834725,-3885272.309315066,12.496634693119482,#98df8a
6783,87.94235,4,KNOP LABORATORIOS S A,KNOP LABORATORIOS SA,Producción química,"FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS PRODUCTOS BOTÁNICOS",Valparaíso,Marga Marga,Quilpué,19.0,6341580.0,274618.0,-33.04098764838485,-71.4134995295337,46.2139,1,14,-7949714.403393373,-3900745.6527570453,4.476681486161139,#f7b6d2
7641,163.283,2,ITALMOD S A,ITALMOD S.A.,Industria manufacturera,FABRICACIÓN DE PRENDAS DE VESTIR; EXCEPTO PRENDAS DE PIEL,Metropolitana,Santiago,Independencia,19.0,6301410.0,344985.0,-33.41547236207145,-70.66717296560464,133.69299999999998,1,6,-7866633.710331297,-3950581.7118319077,5.095484891679201,#98df8a
7820,1527.876611,1,LABORATORIOS ANDROMACO S.A.,LAB. ANDROMACO S.A.,Producción química,"FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS PRODUCTOS BOTÁNICOS",Metropolitana,Santiago,Peñalolén,19.0,6293244.0,353395.0,-33.49028183203544,-70.57808821775231,1527.876611,1,14,-7856716.841562929,-3960562.9645545552,7.3316342145024995,#f7b6d2
7826,1216.0948899999999,4,LABORATORIO CHILE S A,PLANTA MAIPÚ,Producción química,"FABRICACIÓN DE PRODUCTOS FARMACÉUTICOS, SUSTANCIAS QUÍMICAS MEDICINALES Y PRODUCTOS BOTÁNICOS PRODUCTOS BOTÁNICOS",Metropolitana,Santiago,Maipú,19.0,6290192.0,338927.0,-33.51571638348648,-70.73431437637292,1080.57,1,14,-7874107.857989164,-3963958.4647384295,7.103400094021049,#f7b6d2
8179,7241.97166289,2,WALMART CHILE ALIMENTOS Y SERVICIOS LIMITADA,WALMART CHILE ALIMENTOS Y SERVICIOS LTDA,Producción de alimentos,ELABORACIÓN DE OTROS PRODUCTOS ALIMENTICIOS N.C.P.,Metropolitana,Santiago,Quilicura,19.0,6305398.0,336630.0,-33.378278427609715,-70.7562708404229,7227.73,1,2,-7876552.040386829,-3945622.4117131927,8.88764877743337,#aec7e8
8627,3130.8060000000005,2,GOLDEN CLEAN S A,GOLDEN CLEAN SA,Industria manufacturera,"LAVADO Y LIMPIEZA DE PRENDAS DE TELA Y DE PIEL, INCLUSO LAS LIMPIEZAS EN SECO",Metropolitana,Santiago,Cerrillos,19.0,6294200.0,342587.0,-33.48012687880944,-70.69421719881862,2294.42,1,6,-7869644.260601572,-3959207.5618727766,8.049045758371928,#98df8a
9713,93.6,1,SOC AGRICOLA LA ISLA LTDA,SOC. AGRICOLA LA ISLA LTDA.,Industria agropecuaria y silvicultura,ELABORACIÓN DE PRODUCTOS LÁCTEOS,Metropolitana,Melipilla,Melipilla,19.0,6266564.0,295064.0,-33.72115978790171,-71.21176123819183,93.6,1,3,-7927256.999527692,-3991421.769910773,4.539030383483547,#ff7f0e
9823,194.48699999999997,2,CIA INDUSTRIAL DE CAUCHO LTDA,CICAL,Industria manufacturera,FABRICACIÓN DE OTROS PRODUCTOS DE CAUCHO,Metropolitana,Santiago,Estación Central,19.0,6294695.0,343209.0,-33.47575539850938,-70.68743867924563,158.97899999999996,1,6,-7868889.6792543745,-3958624.140246112,5.270365322778466,#98df8a
9898,49478.804,1,CMPC TISSUE S A,PLANTA TISSUE TALAGANTE,Industria del papel y celulosa,"FABRICACIÓN DE PASTAS DE MADERA, PAPEL Y CARTÓN",Metropolitana,Talagante,Talagante,19.0,6269327.0,320797.0,-33.700914607821176,-70.93362889836614,49478.804,1,16,-7896295.449085154,-3988712.5186267113,10.809299654831914,#c7c7c7
