,enerProc,enerSol,SF
1,5468.995296203325,318.7442090521556,5.828204117736828
2,4993.430487837819,260.88231404781584,5.224510778376314
3,5944.560104568831,261.539931448193,4.399651561217799
4,6974.950522694097,190.58787257130868,2.732462000285179
5,7688.297735242357,151.09659367587048,1.9652802073892042
6,7609.036933848102,120.09803460385577,1.5783605158967053
7,8599.796951276245,134.98401532822575,1.5696186327770631
8,7846.819338030857,182.34336723457457,2.3237869941878038
9,7212.732926876851,243.85586374960894,3.3809079889943985
10,6340.864111540087,298.5203304968921,4.707880901494144
11,5231.212892020572,311.34775211066926,5.951731625864117
12,5627.5168989918275,329.0727801356559,5.847566271984175
