,enerProc,enerSol,enerHPump_util,enerHPump_excess,enerCald_util,enerCald_excess,ElectrHPump,SF,HPumpF,CaldF,TotalF,FracFalt,enerPeak,enerSto
1,11815.926627352372,332.50884552041924,744.0,0,558.0,0,372.0,2.8140733774590596,6.296586154129752,4.722439615597314,13.833099147186125,86.16690085281388,332.50884552041924,0.0
2,10788.454746713036,269.77931347393815,672.0,0,504.0,0,336.0,2.5006297918256823,6.22888092666599,4.671660694999493,13.401171413491166,86.59882858650883,269.77931347393815,0.0
3,12843.398507991711,265.4749138379153,744.0,0,558.0,0,372.0,2.06701453414161,5.792859261799371,4.344644446349528,12.204518242290508,87.7954817577095,265.4749138379153,0.0
4,15069.587582710277,176.94984761577518,720.0,0,540.0,0,360.0,1.1742182501317704,4.777834801704025,3.583376101278019,9.535429153113814,90.46457084688619,176.94984761577518,0.0
5,16610.795403669275,126.64676440289135,744.0,0,558.0,0,372.0,0.762436483775578,4.4790148931438445,3.3592611698578834,8.600712546777306,91.3992874532227,126.64676440289135,0.0
6,16439.55009022939,92.50821750716199,720.0,0,540.0,0,360.0,0.5627174527248341,4.379681901562024,3.284761426171518,8.227160780458377,91.77283921954162,92.50821750716199,0.0
7,17980.757911188393,110.37610072946838,744.0,0,558.0,0,372.0,0.6138567755299551,4.1377566155709795,3.1033174616782344,7.854930852779169,92.14506914722084,110.37610072946838,0.0
8,16953.286030549058,155.8928658738296,744.0,0,558.0,0,372.0,0.9195436542090877,4.388529743787402,3.2913973078405516,8.59947070583704,91.40052929416296,155.8928658738296,0.0
9,15583.323523029941,222.42738858350884,720.0,0,540.0,0,360.0,1.4273424295837323,4.620323764285213,3.465242823213909,9.512909017082855,90.48709098291715,222.42738858350884,0.0
10,13699.625075191163,281.6951954450878,744.0,0,558.0,0,372.0,2.056225582079713,5.430805557936909,4.073104168452681,11.560135308469302,88.4398646915307,281.6951954450878,0.0
11,11302.190687032706,310.1185473582986,720.0,0,540.0,0,360.0,2.7438799781895873,6.3704464022720355,4.777834801704026,13.89216118216565,86.10783881783435,310.1185473582986,0.0
12,12158.417254232158,332.7119873756069,744.0,0,558.0,0,372.0,2.736474496791883,6.119217530069755,4.5894131475523166,13.445105174413955,86.55489482558605,332.7119873756069,0.0
