,enerProc,enerSol,SF,enerAux,enerPeak,enerSto
1,9425.378874873453,320.51221344368105,3.4005233922014018,12139.822215239697,320.51221344368105,0.0
2,8605.78071184098,262.29871398740005,3.047936297359919,11124.642663804772,262.29871398740005,0.0
3,10244.97703790593,262.78028379145644,2.5649670352523177,13309.59567215263,262.78028379145644,0.0
4,12020.773057809618,191.3203000526823,1.591580667338079,15772.603677009247,191.3203000526823,0.0
5,13250.170302358329,151.6252113532747,1.1443265097225785,17464.726788006737,151.6252113532747,0.0
6,13113.570608519589,120.50848383724488,0.9189601172311778,17324.082832909793,120.50848383724488,0.0
7,14821.066781503907,135.41344865826184,0.9136552088629164,19580.87111046086,135.41344865826184,0.0
8,13523.369690035823,182.98905350742712,1.3531320795160662,17787.174182037863,182.98905350742712,0.0
9,12430.572139325857,244.82207434393555,1.969515735879981,16247.666753309228,244.82207434393555,0.0
10,10927.975507099654,299.89377360043136,2.7442756749006003,14170.77564466563,299.89377360043136,0.0
11,9015.579793357214,312.9930816451159,3.4716911038348632,11603.448948949464,312.9930816451159,0.0
12,9698.578262550942,330.75557140777033,3.410351109759197,12490.430254857563,330.75557140777033,0.0
