,enerProc,enerSol,SF,enerHPump_util,enerHPump_excess,enerCald_util,enerCald_excess,ElectrHPump,CaldF,HPumpF,TotalF,FracFalt,enerPeak,enerSto
1,9691.84842871208,332.05002605641096,3.4260753095633802,9359.798402655668,1590.2015973443322,0.0,0.0,5475.0,0.0,96.57392469043661,100.0,0.0,332.05002605641096,0.0
2,8849.07900012842,269.42022435404306,3.044613166524258,8579.658775774376,2370.3412242256236,0.0,0.0,5475.0,0.0,96.95538683347573,99.99999999999997,2.842170943040401e-14,269.42022435404306,0.0
3,10510.8300105212,265.15077387495063,2.5226435363290842,10245.679236646249,704.3207633537513,0.0,0.0,5475.0,0.0,97.4773564636709,100.0,0.0,265.15077387495063,0.0
4,12288.424058857283,176.76644304109453,1.4384793541828038,10950.0,0.0,547.5,0.0,5475.0,4.455412649967686,89.10825299935374,95.00214500350422,4.997854996495775,176.76644304109453,0.0
5,13597.284250274128,126.53232987446194,0.930570601786978,10950.0,0.0,547.5,0.0,5475.0,4.026539343611664,80.53078687223328,85.48789681763192,14.51210318236808,126.53232987446194,0.0
6,13474.342616785403,92.42850951876811,0.6859593239348617,10950.0,0.0,547.5,0.0,5475.0,4.063278005993127,81.26556011986253,86.01479744979052,13.985202550209479,92.42850951876811,0.0
7,14722.185093301208,110.2863208167349,0.7491165212079602,10950.0,0.0,547.5,0.0,5475.0,3.7188773034046414,74.37754606809281,78.84553989270542,21.154460107294582,110.2863208167349,0.0
8,13932.881682229843,155.7573578154772,1.1179120110818994,10950.0,0.0,547.5,0.0,5475.0,3.929553214381256,78.59106428762513,83.63852951308827,16.361470486911728,155.7573578154772,0.0
9,12804.507058403948,222.20842547177392,1.735392268193038,10950.0,0.0,547.5,0.0,5475.0,4.2758381677853095,85.51676335570619,91.52799379168454,8.472006208315463,222.20842547177392,0.0
10,11300.511006461997,281.37702040677016,2.489949527467118,10950.0,0.0,69.13398605522707,478.36601394477293,5475.0,0.6117775206421552,96.89827295189073,100.0,0.0,281.37702040677016,0.0
11,9323.929731932545,309.71380832589557,3.321708949234027,9014.215923606649,1935.784076393351,0.0,0.0,5475.0,0.0,96.67829105076596,100.0,0.0,309.71380832589557,0.0
12,9960.084719960214,332.27473777296865,3.3360633680864504,9627.809982187246,1322.1900178127544,0.0,0.0,5475.0,0.0,96.66393663191354,100.0,0.0,332.27473777296865,0.0
