,enerProc,enerSol,SF,enerHPump_util,enerHPump_excess,enerCald_util,enerCald_excess,ElectrHPump,CaldF,HPumpF,enerPeak,enerSto
1,11531.727337646033,332.4568722047567,2.8829754855496,730.0,0,547.5,0,365.0,4.747770945057404,6.330361260076538,332.4568722047567,0.0
2,10528.968438720289,269.73860969626026,2.5618711962730965,730.0,0,547.5,0,365.0,5.199939606491443,6.933252808655258,269.73860969626026,0.0
3,12534.486236571776,265.4386799455842,2.1176670103248094,730.0,0,547.5,0,365.0,4.367949269452811,5.8239323592704135,265.4386799455842,0.0
4,14707.130517577549,176.9299520422505,1.2030215671968696,730.0,0,547.5,0,365.0,3.7226840364654645,4.9635787152872854,176.9299520422505,0.0
5,16211.268865966164,126.63397873011073,0.7811478532440191,730.0,0,547.5,0,365.0,3.3772803629789774,4.5030404839719695,126.63397873011073,0.0
6,16044.14238281187,92.49922023924503,0.5765295397673589,730.0,0,547.5,0,365.0,3.412460366760009,4.549947155680012,92.49922023924503,0.0
7,17548.28073120049,110.36593612988861,0.6289273451937669,730.0,0,547.5,0,365.0,3.119963763894864,4.159951685193152,110.36593612988861,0.0
8,16545.52183227475,155.8773488902427,0.942112013573234,730.0,0,547.5,0,365.0,3.309052476858189,4.412069969144252,155.8773488902427,0.0
9,15208.509967040425,222.40238503649027,1.4623548626293845,730.0,0,547.5,0,365.0,3.5999581891094583,4.799944252145945,222.40238503649027,0.0
10,13370.118652343222,281.65815159826957,2.106624173816937,730.0,0,547.5,0,365.0,4.094952440112012,5.459936586816016,281.65815159826957,0.0
11,11030.347888183162,310.0713332061687,2.8110748305440922,730.0,0,547.5,0,365.0,4.9635787152872854,6.61810495371638,310.0713332061687,0.0
12,11865.980303954615,332.6627797860572,2.803500185106405,730.0,0,547.5,0,365.0,4.614030918436067,6.152041224581423,332.6627797860572,0.0
