,enerProc,enerSol,enerHPump_util,enerHPump_excess,enerCald_util,enerCald_excess,ElectrHPump,SF,HPumpF,CaldF,TotalF,FracFalt,enerPeak,enerSto
1,10482.147914910089,332.24153383896805,744,0,558.0,0,372.0,3.1695940234384476,7.097781924463348,5.323336443347511,15.590712391249307,84.40928760875069,332.24153383896805,0.0
2,9570.656791874428,269.5700388116475,672,0,504.0,0,336.0,2.816630505865751,7.021461688716431,5.266096266537323,15.104188461119506,84.8958115388805,269.5700388116475,0.0
3,11393.639037945748,265.28870644973955,744,0,558.0,0,372.0,2.328393110982482,6.529959370506281,4.89746952787971,13.755822009368474,86.24417799063153,265.28870644973955,0.0
4,13368.536471189676,176.84755081102605,720,0,540.0,0,360.0,1.3228639589093947,5.38578027259499,4.0393352044462425,10.747979435950626,89.25202056404937,176.84755081102605,0.0
5,14735.773155743163,126.5810569770114,744,0,558.0,0,372.0,0.8590051953105516,5.04893765760795,3.7867032432059626,9.694646096124465,90.30535390387553,126.5810569770114,0.0
6,14583.857968570557,92.46199775665973,720,0,540.0,0,360.0,0.6340023192486044,4.936965249878741,3.7027239374090555,9.2736915065364,90.7263084934636,92.46199775665973,0.0
7,15951.094653124048,110.3238619885149,744,0,558.0,0,372.0,0.6916381877710681,4.664256693218772,3.4981925199140784,8.854087400903918,91.14591259909608,110.3238619885149,0.0
8,15039.603530088383,155.813105839652,744,0,558.0,0,372.0,1.036018705732041,4.946938917050214,3.7102041877876606,9.693161810569915,90.30683818943008,155.813105839652,0.0
9,13824.282032707506,222.2987420399832,720,0,540.0,0,360.0,1.6080310103196418,5.208227076795155,3.906170307596366,10.722428394711162,89.27757160528884,222.2987420399832,0.0
10,12153.214973808792,281.50467994780627,744,0,558.0,0,372.0,2.3162980376342612,6.121836909849641,4.591377682387231,13.029512629871135,86.97048737012886,281.50467994780627,0.0
11,10026.40235339226,309.87589490468855,720,0,540.0,0,360.0,3.0905990402414623,7.181040363459985,5.385780272594989,15.657419676296435,84.34258032370357,309.87589490468855,0.0
12,10785.978289255308,332.45899626913723,744,0,558.0,0,372.0,3.082325843362059,6.89784440546438,5.1733833040982855,15.153553552924725,84.84644644707528,332.45899626913723,0.0
