,enerProc,enerSol,enerHPump_util,enerHPump_excess,enerCald_util,enerCald_excess,ElectrHPump,SF,HPumpF,CaldF,TotalF,FracFalt,enerPeak,enerSto
1,10104.797709788516,10104.797709788516,0.0,0.0,0.0,0.0,3650.0,100.0,0.0,0.0,100.0,0.0,3771.445237440288,18919.496417214446
2,9226.119648067775,9226.119648067775,0.0,0.0,0.0,0.0,3650.0,100.0,0.0,0.0,100.0,0.0,3218.2045797750197,15047.491634260216
3,10958.674374605844,10958.674374605844,0.0,0.0,0.0,0.0,3650.0,100.0,0.0,0.0,100.0,0.0,3543.201521690857,14290.254737661402
4,12812.007967333851,10714.441252586827,2097.566714747025,5202.433285252975,0.0,0.0,3650.0,83.62811887024199,16.37188112975802,0.0,100.0,0.0,3345.5099330558496,8187.7014661455305
5,14176.635939174705,7436.640760531457,6739.9951786432475,560.0048213567525,0.0,0.0,3650.0,52.457020074710215,47.54297992528979,0.0,100.0,0.0,3130.861661332846,4784.198999109569
6,14048.456021210424,5344.7580980490475,7300.0,0.0,1403.6979231613768,1333.8020768386232,3650.0,38.045163753080814,51.963005678192864,9.991830568726321,100.0,0.0,2566.583939701606,3086.8601759416015
7,15349.466441629198,6464.553027412232,7300.0,0.0,1584.913414216966,1152.586585783034,3650.0,42.115815894940525,47.55865637258708,10.325527732472391,100.0,0.0,3067.728254215164,3774.249747996743
8,14526.53247199611,9380.461810915676,5146.070661080434,2153.9293389195664,0.0,0.0,3650.0,64.57467966976358,35.425320330236424,0.0,100.0,0.0,3580.453427982515,6444.453758814622
9,13350.08017824779,13350.08017824779,0.0,0.0,0.0,0.0,3650.0,100.0,0.0,0.0,100.0,0.0,4144.934766315988,10525.447532904842
10,11782.00201720565,11782.00201720565,0.0,0.0,0.0,0.0,3650.0,100.0,0.0,0.0,100.0,0.0,3867.0972544966835,15208.215988810536
11,9721.202771015804,9721.202771015804,0.0,0.0,0.0,0.0,3650.0,100.0,0.0,0.0,100.0,0.0,3253.04969553843,18264.46887602321
12,10384.462985346943,10384.462985346943,0.0,0.0,0.0,0.0,3650.0,100.0,0.0,0.0,100.0,0.0,3599.3407078959776,19477.54589923243
