"Time stamp","System power generated | (kW)","AC inverter output power | (W)","DC inverter input power | (W)","Module temperature | (C)","Plane of array irradiance | (W/m2)","Weather file ambient temperature | (C)","Weather file beam irradiance | (W/m2)","Weather file diffuse irradiance | (W/m2)","Weather file global horizontal irradiance | (W/m2)"
"Feb 5, 09:00 pm",0,0,0,19.2,0,19.2,0,0,0
"Feb 5, 10:00 pm",0,0,0,17.8,0,17.8,0,0,0
"Feb 5, 11:00 pm",0,0,0,16.9,0,16.9,0,0,0
"Feb 6, 12:00 am",0,0,0,16.2,0,16.2,0,0,0
"Feb 6, 01:00 am",0,0,0,15.9,0,15.9,0,0,0
"Feb 6, 02:00 am",0,0,0,15.5,0,15.5,0,0,0
"Feb 6, 03:00 am",0,0,0,15.1,0,15.1,0,0,0
"Feb 6, 04:00 am",0,0,0,14.8,0,14.8,0,0,0
"Feb 6, 05:00 am",0,0,0,14.4,0,14.4,0,0,0
"Feb 6, 06:00 am",0,0,0,12.5,0,12.5,0,0,0
"Feb 6, 07:00 am",197.086,197086,206700,21.306,237.364,15.7,433.2,34,96
"Feb 6, 08:00 am",599.19,599190,622700,44.4415,766.403,18.9,737.2,57,326.3
"Feb 6, 09:00 am",714.493,714493,743231,47.6592,941.838,22,863.2,70.4,563.4
"Feb 6, 10:00 am",761.679,761679,792720,48.5636,1020.74,24.8,928.3,80.1,772.7
"Feb 6, 11:00 am",775.349,775349,807075,49.2938,1050.26,27.2,963.5,87.1,933.6
"Feb 6, 12:00 pm",768.769,768769,800164,52.8105,1060.6,30.2,980.5,91.7,1032.2
"Feb 6, 01:00 pm",771.487,771487,803019,52.0109,1062.03,31.2,986.5,92,1061.5
"Feb 6, 02:00 pm",773.95,773950,805606,51.1151,1059.8,32,979.7,89.9,1018
"Feb 6, 03:00 pm",772.001,772001,803559,49.5917,1045.67,31.1,958.3,85.2,905.1
"Feb 6, 04:00 pm",756.64,756640,787431,48.0226,1009.59,30,917,78.1,732.3
"Feb 6, 05:00 pm",698.557,698557,726539,45.8233,911.002,28.7,841.3,68.1,514.9
"Feb 6, 06:00 pm",517.978,517978,538142,39.3407,647.45,26.6,691.7,53.6,275.2
"Feb 6, 07:00 pm",113.821,113821,121380,27.649,149.816,23.8,308.3,26,55.6
"Feb 6, 08:00 pm",0,0,0,21.2,0,21.2,0,0,0
"Feb 6, 09:00 pm",0,0,0,19,0,19,0,0,0
"Feb 6, 10:00 pm",0,0,0,17.2,0,17.2,0,0,0
"Feb 6, 11:00 pm",0,0,0,16,0,16,0,0,0
"Feb 7, 12:00 am",0,0,0,15.4,0,15.4,0,0,0
"Feb 7, 01:00 am",0,0,0,14.6,0,14.6,0,0,0
"Feb 7, 02:00 am",0,0,0,13.8,0,13.8,0,0,0
"Feb 7, 03:00 am",0,0,0,13.2,0,13.2,0,0,0
"Feb 7, 04:00 am",0,0,0,12.5,0,12.5,0,0,0
"Feb 7, 05:00 am",0,0,0,11.9,0,11.9,0,0,0
"Feb 7, 06:00 am",0,0,0,9.4,0,9.4,0,0,0
"Feb 7, 07:00 am",199.621,199621,209301,18.4595,238.001,12.8,449.1,32.2,95.3
"Feb 7, 08:00 am",610.947,610947,634964,43.4188,778.211,16.2,758,52.4,327.8
"Feb 7, 09:00 am",729.681,729681,759150,45.4211,953.258,19.3,884,63,566.2
"Feb 7, 10:00 am",774.946,774946,806652,46.529,1030.09,22.2,949.3,69.7,776.6
"Feb 7, 11:00 am",787.54,787540,819884,47.0993,1057.42,24.6,985.4,73.8,938.4
"Feb 7, 12:00 pm",779.135,779135,811053,50.984,1066.94,27.6,1004.1,75.9,1038
"Feb 7, 01:00 pm",781.805,781805,813858,50.0962,1067.92,28.7,1009.6,76.2,1067.4
"Feb 7, 02:00 pm",784.733,784733,816935,49.3168,1066.8,29.5,1003.4,74.7,1024.2
"Feb 7, 03:00 pm",784.389,784389,816573,48.0254,1055.81,29,983.8,71.4,912
"Feb 7, 04:00 pm",771.98,771980,803537,46.7532,1024.89,28.1,945.8,66.1,739.8
"Feb 7, 05:00 pm",717.828,717828,746725,45.0188,933.191,27.1,876.2,58.6,522.5
"Feb 7, 06:00 pm",537.875,537875,558833,38.829,670.949,25.3,735.6,47.2,281.6
"Feb 7, 07:00 pm",118.718,118718,126390,26.9135,155.893,22.8,351.7,23.9,57
"Feb 7, 08:00 pm",0,0,0,20.5,0,20.5,0,0,0
"Feb 7, 09:00 pm",0,0,0,18.6,0,18.6,0,0,0
"Feb 7, 10:00 pm",0,0,0,17.2,0,17.2,0,0,0
"Feb 7, 11:00 pm",0,0,0,16.3,0,16.3,0,0,0
"Feb 8, 12:00 am",0,0,0,16.2,0,16.2,0,0,0
"Feb 8, 01:00 am",0,0,0,15.8,0,15.8,0,0,0
"Feb 8, 02:00 am",0,0,0,15.3,0,15.3,0,0,0
"Feb 8, 03:00 am",0,0,0,14.9,0,14.9,0,0,0
"Feb 8, 04:00 am",0,0,0,14.5,0,14.5,0,0,0
"Feb 8, 05:00 am",0,0,0,14.1,0,14.1,0,0,0
"Feb 8, 06:00 am",0,0,0,12.6,0,12.6,0,0,0
"Feb 8, 07:00 am",199.05,199050,208715,21.654,239.979,15.9,489.7,29.7,97.3
"Feb 8, 08:00 am",614.562,614562,638737,45.5375,789.363,19.3,793.1,47,333.3
"Feb 8, 09:00 am",734.327,734326,764021,48.5696,971.481,22.5,911.8,55.7,573.2
"Feb 8, 10:00 am",776.166,776166,807934,49.474,1043.98,25.4,973.1,61.1,784.2
"Feb 8, 11:00 am",785.394,785394,817629,50.2677,1068.08,27.8,1006.8,64.5,946.4
"Feb 8, 12:00 pm",780.11,780110,812077,52.6715,1075.66,29.9,1024.1,66.1,1046.3
"Feb 8, 01:00 pm",782.581,782582,814674,51.7692,1076.28,30.9,1028.8,66.8,1075.7
"Feb 8, 02:00 pm",785.514,785514,817756,51.1051,1075.63,31.7,1022.4,66,1032.4
"Feb 8, 03:00 pm",601.515,601515,625125,45.2382,807.95,30.8,391.5,411.1,745.2
"Feb 8, 04:00 pm",489.437,489437,508491,40.9439,641.817,29.6,282.2,350.5,551.1
"Feb 8, 05:00 pm",330.784,330784,344281,35.8072,422.625,28.2,149.9,263.1,342.3
"Feb 8, 06:00 pm",541.286,541286,562382,39.0195,675.657,26.5,762.5,44.1,285.6
"Feb 8, 07:00 pm",45.979,45979,52067.7,25.5693,65.0858,23.7,80.7,16.3,23.7
"Feb 8, 08:00 pm",0,0,0,21,0,21,0,0,0
"Feb 8, 09:00 pm",0,0,0,18.8,0,18.8,0,0,0
"Feb 8, 10:00 pm",0,0,0,16.9,0,16.9,0,0,0
"Feb 8, 11:00 pm",0,0,0,15.6,0,15.6,0,0,0
"Feb 9, 12:00 am",0,0,0,15,0,15,0,0,0
"Feb 9, 01:00 am",0,0,0,14.3,0,14.3,0,0,0
"Feb 9, 02:00 am",0,0,0,13.5,0,13.5,0,0,0
"Feb 9, 03:00 am",0,0,0,12.7,0,12.7,0,0,0
"Feb 9, 04:00 am",0,0,0,12,0,12,0,0,0
"Feb 9, 05:00 am",0,0,0,11.3,0,11.3,0,0,0
"Feb 9, 06:00 am",0,0,0,10.4,0,10.4,0,0,0
"Feb 9, 07:00 am",200.149,200149,209843,19.0382,239.273,13.8,497,29.4,96.6
"Feb 9, 08:00 am",624.792,624792,649414,42.5055,792.821,17.2,801.8,46.8,334.6
"Feb 9, 09:00 am",746.394,746394,776678,46.4946,979.199,20.1,919.9,55.7,576.1
"Feb 9, 10:00 am",789.176,789176,821603,47.0478,1051.17,22.7,980.2,61.5,788.5
"Feb 9, 11:00 am",798.816,798816,831738,47.5964,1074.72,24.9,1013.3,65.4,951.7
"Feb 9, 12:00 pm",794.514,794514,827215,49.6246,1082.06,26.8,1030.2,67.5,1052.2
"Feb 9, 01:00 pm",797.022,797022,829851,48.6549,1082.43,27.9,1035.1,67.9,1081.8
"Feb 9, 02:00 pm",799.6,799600,832562,48.1026,1081.75,28.8,1028.9,66.7,1038.1
"Feb 9, 03:00 pm",800.805,800805,833828,46.7896,1072.62,28.2,1010.1,64,924.7
"Feb 9, 04:00 pm",790.444,790444,822936,45.6807,1044.94,27.4,973.6,59.7,750.6
"Feb 9, 05:00 pm",739.015,739015,768938,43.8138,956.097,26.4,906.7,53.5,530.7
"Feb 9, 06:00 pm",542.96,542960,564123,38.9722,677.568,25.6,770.2,43.7,286.2
"Feb 9, 07:00 pm",112.363,112363,119889,26.9016,149.091,23,378.2,22.4,56.3
"Feb 9, 08:00 pm",0,0,0,20.6,0,20.6,0,0,0
"Feb 9, 09:00 pm",0,0,0,18.7,0,18.7,0,0,0
"Feb 9, 10:00 pm",0,0,0,17.2,0,17.2,0,0,0
"Feb 9, 11:00 pm",0,0,0,16.3,0,16.3,0,0,0
"Feb 10, 12:00 am",0,0,0,15,0,15,0,0,0
"Feb 10, 01:00 am",0,0,0,14.5,0,14.5,0,0,0
"Feb 10, 02:00 am",0,0,0,13.9,0,13.9,0,0,0
"Feb 10, 03:00 am",0,0,0,13.3,0,13.3,0,0,0
"Feb 10, 04:00 am",0,0,0,12.7,0,12.7,0,0,0
"Feb 10, 05:00 am",0,0,0,12.1,0,12.1,0,0,0
"Feb 10, 06:00 am",0,0,0,11.5,0,11.5,0,0,0
"Feb 10, 07:00 am",199.771,199771,209456,20.5235,240.422,14.9,514,28,96.4
"Feb 10, 08:00 am",619.594,619594,643988,46.6568,799.215,18.4,818,44,335.9
"Feb 10, 09:00 am",746.437,746437,776724,48.6179,987.546,21.3,933.6,51.8,578.1
"Feb 10, 10:00 am",788.057,788058,820428,48.8237,1057.13,23.9,992.2,56.5,790.7
"Feb 10, 11:00 am",796.955,796955,829781,49.0162,1078.3,26.1,1024.2,59.4,953.9
"Feb 10, 12:00 pm",790.508,790508,823003,51.4248,1084.44,28.6,1040.6,60.9,1054.3
"Feb 10, 01:00 pm",791.936,791936,824504,50.8391,1085.01,29.8,1046,61,1084.5
"Feb 10, 02:00 pm",795.446,795446,828194,50.1709,1085.09,30.6,1040.4,60,1041.1
"Feb 10, 03:00 pm",798.165,798165,831053,48.8618,1077.96,29.8,1023,57.8,928.2
"Feb 10, 04:00 pm",790.788,790788,823298,47.6085,1053.43,28.8,988.7,54.2,754.3
"Feb 10, 05:00 pm",743.205,743205,773333,45.5145,967.973,27.5,925.2,48.9,534.3
"Feb 10, 06:00 pm",549.666,549666,571102,39.6299,687.659,26.2,793.9,40.5,288.9
"Feb 10, 07:00 pm",113.017,113017,120558,27.4188,151.117,23.5,401.8,21.2,56.2
"Feb 10, 08:00 pm",0,0,0,20.9,0,20.9,0,0,0
"Feb 10, 09:00 pm",0,0,0,18.7,0,18.7,0,0,0
"Feb 10, 10:00 pm",0,0,0,17,0,17,0,0,0
"Feb 10, 11:00 pm",0,0,0,15.9,0,15.9,0,0,0
"Feb 11, 12:00 am",0,0,0,14.3,0,14.3,0,0,0
"Feb 11, 01:00 am",0,0,0,13.6,0,13.6,0,0,0
"Feb 11, 02:00 am",0,0,0,12.9,0,12.9,0,0,0
"Feb 11, 03:00 am",0,0,0,12.3,0,12.3,0,0,0
"Feb 11, 04:00 am",0,0,0,11.6,0,11.6,0,0,0
"Feb 11, 05:00 am",0,0,0,10.9,0,10.9,0,0,0
"Feb 11, 06:00 am",0,0,0,9.5,0,9.5,0,0,0
"Feb 11, 07:00 am",206.786,206786,216657,18.5177,247.204,12.8,550.4,26.2,98
"Feb 11, 08:00 am",641.969,641969,667352,43.5247,817.796,16.2,849.6,40.3,341.6
"Feb 11, 09:00 am",765.977,765977,797233,47.0976,1007.27,19.1,960.5,46.7,586.6
"Feb 11, 10:00 am",806.168,806168,839468,47.132,1074.18,21.7,1016.8,50.3,801.2
"Feb 11, 11:00 am",813.21,813210,846876,47.3972,1093.25,23.9,1047.7,52.5,966
"Feb 11, 12:00 pm",808.135,808135,841537,49.1048,1098.35,25.9,1063.7,53.5,1067.6
"Feb 11, 01:00 pm",810.265,810265,843778,48.2005,1098.46,26.9,1068.4,53.8,1097.9
"Feb 11, 02:00 pm",814.01,814010,847717,47.6098,1099.12,27.6,1063.1,53.1,1054.3
"Feb 11, 03:00 pm",817.709,817709,851610,46.415,1093.69,26.9,1046.5,51.6,940.5
"Feb 11, 04:00 pm",811.989,811989,845591,45.3185,1071.93,26,1013.7,48.9,765.1
"Feb 11, 05:00 pm",765.864,765864,797114,43.4008,989.22,24.8,952.8,44.8,542.9
"Feb 11, 06:00 pm",566.925,566924,589072,37.9624,704.641,24.2,826.3,37.7,294.4
"Feb 11, 07:00 pm",115.953,115953,123561,25.469,154.842,21.5,435.7,20,56.8
"Feb 11, 08:00 pm",0,0,0,19,0,19,0,0,0
"Feb 11, 09:00 pm",0,0,0,16.9,0,16.9,0,0,0
"Feb 11, 10:00 pm",0,0,0,15.3,0,15.3,0,0,0
"Feb 11, 11:00 pm",0,0,0,14.2,0,14.2,0,0,0
"Feb 12, 12:00 am",0,0,0,13.9,0,13.9,0,0,0
"Feb 12, 01:00 am",0,0,0,13.6,0,13.6,0,0,0
"Feb 12, 02:00 am",0,0,0,13.1,0,13.1,0,0,0
"Feb 12, 03:00 am",0,0,0,12.5,0,12.5,0,0,0
"Feb 12, 04:00 am",0,0,0,11.8,0,11.8,0,0,0
"Feb 12, 05:00 am",0,0,0,11.2,0,11.2,0,0,0
"Feb 12, 06:00 am",0,0,0,10.5,0,10.5,0,0,0
"Feb 12, 07:00 am",203.684,203684,213472,19.7786,245.019,14.3,575.5,25.3,99
"Feb 12, 08:00 am",654.448,654448,680393,43.08,832.194,18.2,873.3,38.8,346.6
"Feb 12, 09:00 am",772.8,772800,804398,49.243,1025.04,21.7,981.4,44.8,594.5
"Feb 12, 10:00 am",807.595,807595,840969,50.3273,1090.03,24.9,1035.6,48.2,811.4
"Feb 12, 11:00 am",811.187,811187,844748,51.2001,1107.41,27.7,1065.5,50.2,977.8
"Feb 12, 12:00 pm",813.805,813805,847502,50.3329,1111.61,26.3,1080.8,51.3,1080.4
"Feb 12, 01:00 pm",817.579,817579,851473,48.68,1110.57,26.4,1084.2,51.8,1110
"Feb 12, 02:00 pm",824.15,824150,858388,47.1632,1110.89,26.3,1078.1,51.4,1065.3
"Feb 12, 03:00 pm",826.922,826922,861306,46.2309,1105.24,25.9,1060.7,50.1,949.7
"Feb 12, 04:00 pm",820.575,820575,854625,45.4494,1083.83,25.3,1027.3,47.8,772
"Feb 12, 05:00 pm",773.129,773129,804744,43.9545,1000.74,24.5,966.1,44,547.2
"Feb 12, 06:00 pm",571.517,571517,593856,37.5998,709.306,24.2,839,37.2,295.9
"Feb 12, 07:00 pm",112.398,112398,119924,25.5941,151.792,21.8,441.1,19.6,55.8
"Feb 12, 08:00 pm",0,0,0,19.5,0,19.5,0,0,0
"Feb 12, 09:00 pm",0,0,0,17.5,0,17.5,0,0,0
"Feb 12, 10:00 pm",0,0,0,16,0,16,0,0,0
"Feb 12, 11:00 pm",0,0,0,15,0,15,0,0,0
"Feb 13, 12:00 am",0,0,0,15.4,0,15.4,0,0,0
"Feb 13, 01:00 am",0,0,0,14.8,0,14.8,0,0,0
"Feb 13, 02:00 am",0,0,0,14.2,0,14.2,0,0,0
"Feb 13, 03:00 am",0,0,0,13.7,0,13.7,0,0,0
"Feb 13, 04:00 am",0,0,0,13.2,0,13.2,0,0,0
"Feb 13, 05:00 am",0,0,0,12.6,0,12.6,0,0,0
"Feb 13, 06:00 am",0,0,0,12.2,0,12.2,0,0,0
"Feb 13, 07:00 am",196.429,196429,206026,20.8602,237.745,15.5,561.4,25.4,96
"Feb 13, 08:00 am",636.765,636765,661917,46.7205,821.347,18.9,864.7,39.6,342.6
"Feb 13, 09:00 am",764.738,764738,795932,50.3505,1018.69,21.8,973.8,46,589.7
"Feb 13, 10:00 am",803.727,803727,836901,50.1064,1083.67,24.3,1027.8,49.9,805.7
"Feb 13, 11:00 am",809.701,809701,843184,50.1663,1100.62,26.4,1057.2,52.4,971.3
"Feb 13, 12:00 pm",804.882,804882,838116,51.4348,1104.2,27.8,1071.9,53.8,1073
"Feb 13, 01:00 pm",806.646,806646,839971,50.4023,1103.21,29,1075.6,54.2,1102.7
"Feb 13, 02:00 pm",810.419,810419,843940,49.8154,1103.92,29.9,1069.7,53.8,1058.3
"Feb 13, 03:00 pm",814.923,814923,848678,48.3381,1098.24,29.1,1052.1,52.3,942.9
"Feb 13, 04:00 pm",808.875,808875,842316,47.4294,1076.63,28.2,1018.2,49.8,765.7
"Feb 13, 05:00 pm",761.857,761857,792908,45.4708,991.842,27,955.4,45.5,541.3
"Feb 13, 06:00 pm",555.291,555290,576957,39.8998,695.273,25.8,824.8,38.2,290.8
"Feb 13, 07:00 pm",103.452,103452,110774,27.0301,142.776,23.1,416.8,19.5,52.6
"Feb 13, 08:00 pm",0,0,0,20.5,0,20.5,0,0,0
"Feb 13, 09:00 pm",0,0,0,18.4,0,18.4,0,0,0
"Feb 13, 10:00 pm",0,0,0,16.8,0,16.8,0,0,0
"Feb 13, 11:00 pm",0,0,0,15.7,0,15.7,0,0,0
"Feb 14, 12:00 am",0,0,0,14.4,0,14.4,0,0,0
"Feb 14, 01:00 am",0,0,0,13.7,0,13.7,0,0,0
"Feb 14, 02:00 am",0,0,0,13,0,13,0,0,0
"Feb 14, 03:00 am",0,0,0,12.5,0,12.5,0,0,0
"Feb 14, 04:00 am",0,0,0,11.9,0,11.9,0,0,0
"Feb 14, 05:00 am",0,0,0,11.4,0,11.4,0,0,0
"Feb 14, 06:00 am",0,0,0,9.4,0,9.4,0,0,0
"Feb 14, 07:00 am",195.966,195966,205550,18.2398,235.305,12.9,544.1,25.7,92.8
"Feb 14, 08:00 am",637.094,637094,662261,43.4409,810.968,16.4,856,40.7,339
"Feb 14, 09:00 am",771.603,771603,803141,47.2416,1014.89,19.5,968.3,47.6,586.6
"Feb 14, 10:00 am",809.788,809788,843276,47.788,1081.59,22.2,1024.1,51.8,803.2
"Feb 14, 11:00 am",816.046,816046,849860,47.9253,1099.2,24.5,1054.5,54.5,969.6
"Feb 14, 12:00 pm",809.314,809314,842777,49.8054,1102.9,26.7,1069.5,56.1,1071.6
"Feb 14, 01:00 pm",812.38,812380,846003,48.508,1102.53,27.8,1074.1,56.4,1101.9
"Feb 14, 02:00 pm",817.246,817246,851122,47.6586,1103.54,28.7,1068.6,55.7,1057.7
"Feb 14, 03:00 pm",819.798,819798,853808,46.8927,1098.35,28.2,1051.4,53.9,942.3
"Feb 14, 04:00 pm",813.249,813249,846917,46.1755,1076.94,27.5,1017.7,50.9,764.7
"Feb 14, 05:00 pm",764.406,764406,795583,44.689,991.918,26.6,954.9,46.3,539.9
"Feb 14, 06:00 pm",554.285,554285,575911,38.5017,690.179,25,823.5,38.6,288.7
"Feb 14, 07:00 pm",97.7296,97729.6,104923,26.0714,136.792,22.5,407.7,19.2,50.5
"Feb 14, 08:00 pm",0,0,0,20.2,0,20.2,0,0,0
"Feb 14, 09:00 pm",0,0,0,18.3,0,18.3,0,0,0
"Feb 14, 10:00 pm",0,0,0,16.9,0,16.9,0,0,0
"Feb 14, 11:00 pm",0,0,0,16.1,0,16.1,0,0,0
"Feb 15, 12:00 am",0,0,0,15.8,0,15.8,0,0,0
"Feb 15, 01:00 am",0,0,0,15.5,0,15.5,0,0,0
"Feb 15, 02:00 am",0,0,0,15.1,0,15.1,0,0,0
"Feb 15, 03:00 am",0,0,0,14.7,0,14.7,0,0,0
"Feb 15, 04:00 am",0,0,0,14.2,0,14.2,0,0,0
"Feb 15, 05:00 am",0,0,0,13.8,0,13.8,0,0,0
"Feb 15, 06:00 am",0,0,0,12.7,0,12.7,0,0,0
"Feb 15, 07:00 am",188.762,188762,198158,21.194,229.656,16.2,555.5,25.1,92.2
"Feb 15, 08:00 am",633.712,633712,658727,46.7081,817.141,19.7,869.8,39.7,340.9
"Feb 15, 09:00 am",765.942,765942,797196,51.7024,1025.68,22.6,981.7,46.1,590.6
"Feb 15, 10:00 am",805.365,805365,838624,51.4188,1091.52,25.2,1037,49.8,809.1
"Feb 15, 11:00 am",811.636,811636,845220,51.2998,1108.23,27.4,1067.4,52.1,976.8
"Feb 15, 12:00 pm",811.834,811834,845429,50.9586,1111.52,27.7,1082.7,53.3,1079.8
"Feb 15, 01:00 pm",814.577,814577,848314,49.5625,1110.22,28.7,1086.3,53.7,1109.6
"Feb 15, 02:00 pm",818.521,818521,852464,48.8759,1110.66,29.6,1079.9,53.2,1064.3
"Feb 15, 03:00 pm",823.301,823301,857495,47.5294,1105.83,28.7,1062.3,51.8,947.6
"Feb 15, 04:00 pm",817.604,817604,851499,46.7024,1084.92,27.7,1028.2,49.2,768.5
"Feb 15, 05:00 pm",770.304,770304,801776,44.8308,1000.03,26.4,965.4,45.1,541.9
"Feb 15, 06:00 pm",555.304,555304,576971,38.4325,691.211,24.9,833.1,37.7,288.8
"Feb 15, 07:00 pm",93.0478,93047.8,100137,25.4697,132.668,22,409.8,18.6,48.9
"Feb 15, 08:00 pm",0,0,0,19.3,0,19.3,0,0,0
"Feb 15, 09:00 pm",0,0,0,17.3,0,17.3,0,0,0
"Feb 15, 10:00 pm",0,0,0,15.7,0,15.7,0,0,0
"Feb 15, 11:00 pm",0,0,0,14.6,0,14.6,0,0,0
"Feb 16, 12:00 am",0,0,0,13.9,0,13.9,0,0,0
"Feb 16, 01:00 am",0,0,0,13.3,0,13.3,0,0,0
"Feb 16, 02:00 am",0,0,0,12.7,0,12.7,0,0,0
"Feb 16, 03:00 am",0,0,0,12.1,0,12.1,0,0,0
"Feb 16, 04:00 am",0,0,0,11.5,0,11.5,0,0,0
"Feb 16, 05:00 am",0,0,0,10.8,0,10.8,0,0,0
"Feb 16, 06:00 am",0,0,0,9.6,0,9.6,0,0,0
"Feb 16, 07:00 am",185.091,185091,194392,17.7696,222.884,13,543.4,24.9,89.3
"Feb 16, 08:00 am",639.549,639549,664824,41.1156,806.458,16.5,861.8,40.1,336.7
"Feb 16, 09:00 am",773.89,773890,805543,47.5116,1018.74,19.7,974.1,46.9,585.6
"Feb 16, 10:00 am",810.888,810888,844434,48.2503,1084.88,22.6,1029.6,51,803.2
"Feb 16, 11:00 am",815.215,815215,848986,48.6357,1101.06,25,1059.5,53.7,970.1
"Feb 16, 12:00 pm",811.697,811697,845284,49.2985,1103.76,25.6,1074.2,55.2,1072.1
"Feb 16, 01:00 pm",814.381,814381,848108,48.098,1103.3,26.7,1078.9,55.5,1102.6
"Feb 16, 02:00 pm",819.138,819138,853113,47.3104,1104.41,27.6,1073.2,54.8,1057.9
"Feb 16, 03:00 pm",823.086,823086,857268,46.3551,1100.22,27.1,1056.1,53.2,941.9
"Feb 16, 04:00 pm",817.992,817992,851907,45.4744,1079.97,26.2,1022.5,50.3,763.6
"Feb 16, 05:00 pm",768.354,768354,799729,44.1122,994.444,25.2,959.3,45.8,537.4
"Feb 16, 06:00 pm",548.527,548527,569917,38.0625,681.728,24.4,826.4,38.1,285
"Feb 16, 07:00 pm",85.4827,85482.7,92405.2,25.1214,125.231,21.8,393.5,18.2,46.2
"Feb 16, 08:00 pm",0,0,0,19.4,0,19.4,0,0,0
"Feb 16, 09:00 pm",0,0,0,17.4,0,17.4,0,0,0
"Feb 16, 10:00 pm",0,0,0,15.9,0,15.9,0,0,0
"Feb 16, 11:00 pm",0,0,0,14.9,0,14.9,0,0,0
"Feb 17, 12:00 am",0,0,0,14.3,0,14.3,0,0,0
"Feb 17, 01:00 am",0,0,0,13.8,0,13.8,0,0,0
"Feb 17, 02:00 am",0,0,0,13.2,0,13.2,0,0,0
"Feb 17, 03:00 am",0,0,0,12.9,0,12.9,0,0,0
"Feb 17, 04:00 am",0,0,0,12.6,0,12.6,0,0,0
"Feb 17, 05:00 am",0,0,0,12.3,0,12.3,0,0,0
"Feb 17, 06:00 am",0,0,0,11.5,0,11.5,0,0,0
"Feb 17, 07:00 am",182.37,182370,191601,19.4915,221.455,14.7,550.3,24.5,88.5
"Feb 17, 08:00 am",639.985,639985,665280,42.2631,810.573,18.1,872.5,39.6,338.2
"Feb 17, 09:00 am",778.259,778259,810132,48.5232,1028.6,21.3,985.6,46.2,589.3
"Feb 17, 10:00 am",814.051,814051,847761,49.5214,1094.67,24.2,1041.2,50.1,809.1
"Feb 17, 11:00 am",816.611,816611,850454,50.298,1110.36,26.7,1071.6,52.4,977.6
"Feb 17, 12:00 pm",809.555,809555,843031,52.0252,1113.08,28.4,1086.9,53.7,1081.1
"Feb 17, 01:00 pm",811.69,811690,845277,50.7089,1111.28,29.6,1089.9,54.4,1110.5
"Feb 17, 02:00 pm",816.157,816157,849977,49.7984,1111.42,30.5,1082.6,54.1,1064.4
"Feb 17, 03:00 pm",820.472,820472,854517,48.6304,1106.7,29.6,1064.1,52.9,946.5
"Feb 17, 04:00 pm",815.547,815547,849335,47.6109,1085.85,28.4,1029,50.3,766
"Feb 17, 05:00 pm",766.208,766208,797476,45.9031,998.577,27.1,963.8,46.1,537.7
"Feb 17, 06:00 pm",544.235,544235,565451,38.3674,677.142,25.4,826.6,38.4,283.2
"Feb 17, 07:00 pm",78.0675,78067.5,84828.8,25.7057,118.807,22.7,382.2,17.8,43.9
"Feb 17, 08:00 pm",0,0,0,20.1,0,20.1,0,0,0
"Feb 17, 09:00 pm",0,0,0,18,0,18,0,0,0
"Feb 17, 10:00 pm",0,0,0,16.3,0,16.3,0,0,0
"Feb 17, 11:00 pm",0,0,0,15.1,0,15.1,0,0,0
"Feb 18, 12:00 am",0,0,0,14.5,0,14.5,0,0,0
"Feb 18, 01:00 am",0,0,0,14,0,14,0,0,0
"Feb 18, 02:00 am",0,0,0,13.5,0,13.5,0,0,0
"Feb 18, 03:00 am",0,0,0,12.7,0,12.7,0,0,0
"Feb 18, 04:00 am",0,0,0,12,0,12,0,0,0
"Feb 18, 05:00 am",0,0,0,11.3,0,11.3,0,0,0
"Feb 18, 06:00 am",0,0,0,9.7,0,9.7,0,0,0
"Feb 18, 07:00 am",175.459,175459,184512,17.5974,212.366,13.1,507.7,25.4,83.1
"Feb 18, 08:00 am",625.284,625284,649927,39.5592,783.402,16.6,840.6,42.6,328.5
"Feb 18, 09:00 am",769.497,769497,800929,46.0545,1006.69,19.7,958,50.7,576.9
"Feb 18, 10:00 am",807.084,807084,840432,47.1902,1074.9,22.5,1015.5,55.8,794.4
"Feb 18, 11:00 am",811.091,811091,844646,47.8184,1091.64,24.9,1046.2,59.3,961
"Feb 18, 12:00 pm",803.785,803785,836962,49.669,1094.39,26,1061.1,61.4,1062.8
"Feb 18, 01:00 pm",805.535,805535,838803,48.528,1092.94,27.1,1065.1,61.7,1092.3
"Feb 18, 02:00 pm",809.933,809933,843428,47.7061,1093.44,28,1058.5,60.8,1046.7
"Feb 18, 03:00 pm",812.769,812769,846412,46.7057,1087.6,27.3,1039.5,58.6,929.7
"Feb 18, 04:00 pm",805.72,805720,838997,45.8903,1065.08,26.5,1003.3,55,750.7
"Feb 18, 05:00 pm",753.653,753653,784296,44.1402,974.992,25.4,935.6,49.5,524.5
"Feb 18, 06:00 pm",526.012,526012,546494,36.5584,649.823,24,792.6,40.4,273.1
"Feb 18, 07:00 pm",67.1621,67162.1,73690.2,24.189,106.947,21.5,337.3,17.6,39.6
"Feb 18, 08:00 pm",0,0,0,19.1,0,19.1,0,0,0
"Feb 18, 09:00 pm",0,0,0,17.3,0,17.3,0,0,0
"Feb 18, 10:00 pm",0,0,0,15.9,0,15.9,0,0,0
"Feb 18, 11:00 pm",0,0,0,15.1,0,15.1,0,0,0
"Feb 19, 12:00 am",0,0,0,15.2,0,15.2,0,0,0
"Feb 19, 01:00 am",0,0,0,14.7,0,14.7,0,0,0
"Feb 19, 02:00 am",0,0,0,14,0,14,0,0,0
