barra_mnemotecnico	barra_referencia_mnemotecnico	fecha	hora	costo_en_dolares	costo_en_pesos	nombre
BA01T035SE003T030	BA02T002SE032T002	2020-01-02	22	36,9	27,47648	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-02	23	36,9	27,47648	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-02	24	36,9	27,47648	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	1	39,14	29,30568	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	2	39,14	29,30568	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	3	39,14	29,30568	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	4	39,14	29,30568	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	5	39,14	29,30568	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	6	39,56	29,62015	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	7	46,35	34,7041	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	8	39,14	29,30568	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	9	34,5	25,83153	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	10	34,5	25,83153	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	11	34,5	25,83153	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	12	34,5	25,83153	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	13	34,5	25,83153	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	14	34,5	25,83153	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	15	34,5	25,83153	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	16	34,5	25,83153	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	17	34,5	25,83153	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	18	32,25	24,14687	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	19	35,19	26,34816	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	20	36,99	27,69589	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	21	36,99	27,69589	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	22	36,99	27,69589	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	23	36,99	27,69589	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-03	24	36,99	27,69589	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	1	38,4	28,95974	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	2	38,4	28,95974	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	3	38,4	28,95974	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	4	38,4	28,95974	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	5	34,23	25,8149	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	6	34,23	25,8149	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	7	34,23	25,8149	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	8	32,24	24,31412	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	9	27,62	20,8299	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	10	29,79	22,46643	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	11	29,79	22,46643	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	12	29,79	22,46643	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	13	29,79	22,46643	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	14	29,79	22,46643	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	15	29,79	22,46643	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	16	29,65	22,36084	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	17	28,85	21,75752	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	18	28,35	21,38044	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	19	29,58	22,30805	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	20	31,83	24,00491	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	21	36,74	27,70784	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	22	37,18	28,03967	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	23	37,18	28,03967	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-04	24	37,18	28,03967	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	1	38,47	29,01254	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	2	38,47	29,01254	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	3	35,34	26,65201	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	4	33,72	25,43028	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	5	33,33	25,13615	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	6	34,2	25,79227	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	7	32,85	24,77416	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	8	31,0	23,37896	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	9	29,09	21,93851	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	10	29,13	21,96868	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	11	30,09	22,69267	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	12	31,62	23,84654	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	13	30,71	23,16025	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	14	29,6	22,32314	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	15	30,77	23,2055	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	16	29,76	22,4438	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	17	28,96	21,84047	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	18	30,77	23,2055	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	19	31,16	23,49963	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	20	34,79	26,23723	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	21	40,73	30,71694	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	22	47,05	35,48323	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	23	49,01	36,96138	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-05	24	49,81	37,56471	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	1	46,3	34,91761	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	2	37,92	28,59775	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	3	37,92	28,59775	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	4	37,92	28,59775	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	5	38,76	29,23124	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	6	47,98	36,1846	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	7	47,98	36,1846	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	8	47,98	36,1846	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	9	43,5	32,80596	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	10	43,5	32,80596	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	11	43,5	32,80596	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	12	43,5	32,80596	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	13	38,78	29,24632	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	14	34,06	25,68669	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	15	34,06	25,68669	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	16	35,48	26,7576	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	17	43,5	32,80596	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	18	43,5	32,80596	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	19	46,56	35,11369	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	20	81,61	61,547	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	21	143,64	108,32754	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	22	144,45	108,93841	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	23	110,68	83,47043	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-06	24	80,61	60,79284	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-07	1	79,39	60,21652	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-07	2	79,39	60,21652	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-07	3	79,39	60,21652	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-07	4	66,0	50,06034	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-07	5	64,23	48,71781	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-07	6	47,07	35,70212	BA S/E CUMBRES 220 KV BP1
BA01T035SE003T030	BA02T002SE032T002	2020-01-07	7	40,01	30,34718	BA S/E CUMBRES 220 KV BP1
