,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud,poa,flow,trans,pump,Qaux,Qproc,Qdel,Qloss,Qtrans,Qusef,Tcold,Thot,Tmains,Ttank,Tdel,Vcold,Vhot,Qcol,EffCol,Qsto,Qpeak,Qgross
2018-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91,2.55,1.0,0.0,0.0,473434.4746110057,0.0,0.0,0.0,0.0,-8.455928596665839,11.670876449057992,0.0,0.0,89.98462483166097,130.0,90.0,89.98462483166097,89.98462483166097,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.26,2.88,1.0,0.0,0.0,473434.4746110057,0.0,0.0,0.0,0.0,-10.784750983135083,11.670170300994682,0.0,0.0,89.98039040183882,130.0,90.0,89.98039040183882,89.98039040183882,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47,2.67,1.0,0.0,0.0,473434.4746110057,0.0,0.0,0.0,0.0,-11.426125096662169,11.669975822836639,0.0,0.0,89.97922420999471,130.0,90.0,89.97922420999471,89.97922420999471,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39,2.92,1.0,0.0,0.0,473434.4746110057,0.0,0.0,0.0,0.0,-11.602764051988954,11.669922262180004,0.0,0.0,89.97890303253415,130.0,90.0,89.97890303253415,89.97890303253415,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43,3.35,1.0,0.0,0.0,473434.4746110057,0.0,0.0,0.0,0.0,-11.651411666354186,11.669907511197332,0.0,0.0,89.97881457799582,130.0,90.0,89.97881457799582,89.97881457799582,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,3.57,1.0,0.0,0.0,473434.4746110057,0.0,0.0,0.0,0.0,-11.664809562523935,11.669903448672645,0.0,0.0,89.97879021699198,130.0,90.0,89.97879021699198,89.97879021699198,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 06:00:00,3.46,0.0,3.43,0.04,3.58,0.0,3.58,0.0,5.16,3.91,1.0,0.0,3.5999999046325684,473434.4746110057,2.892922452616902,0.0,0.0,0.0,-11.668499437649048,11.669902329824687,5.207260662042022,0.0,89.97878350779966,130.0,90.0,89.97878350779966,89.97878350779966,180.0,0.0,6040.980289406018,0.0,0.0,0.0,0.0
2018-01-01 07:00:00,101.49,74.39,24.63,2.47,238.32,212.58,25.74,911.95,7.95,4.21,0.0,0.0,239.3718402929061,473434.4746110057,20.652253113592057,0.0,0.0,0.0,-11.669515655288903,11.669902021686067,37.17405737013859,0.0,89.97878166004077,130.0,90.0,89.97878166004077,89.97878166004077,180.0,0.0,6040.980568314957,0.0,0.0,0.0,0.0
2018-01-01 08:00:00,369.16,334.29,29.64,5.23,503.64,472.66,30.98,1057.46,11.28,2.52,0.0,0.0,504.29087116368873,473434.4746110057,24.9112773352357,0.0,0.0,0.0,-11.669795528794873,11.669901936822518,44.84030133322418,0.0,89.97878115115493,130.0,90.0,89.97878115115493,89.97878115115493,180.0,0.0,6040.980645128448,0.0,0.0,0.0,0.0
2018-01-01 09:00:00,632.81,593.02,31.99,7.8,751.9,718.46,33.44,1120.06,13.96,1.94,0.0,0.0,752.1314107705203,473434.4746110057,665.2975883611289,0.052941177500199145,0.0,0.0,490.6169319397643,13.052663495246636,1197.5357159299238,600.839020205768,89.53271022331599,90.89207445785772,90.0,90.44348426045894,90.89207445785772,180.0,0.0,205.18847918054882,0.7988484613217243,600.839020205768,0.0,540.7551181851911
2018-01-01 10:00:00,858.8,815.55,33.28,9.97,961.48,926.7,34.78,1154.01,15.41,3.98,0.0,0.0,961.6184678946535,473434.4746110057,909.3470788817483,0.052941177500199145,0.0,0.0,883.1710520995922,13.13170548255908,1636.8248197321504,985.5004443038671,89.37620525682694,91.60584416518691,90.0,90.87006332542812,91.60584416518691,180.0,0.0,336.5516063341137,1.0248351890136846,985.5004443038671,0.0,886.9503998734804
