,glb,dir,dif,sct,ghi,dirh,difh,dni,temp,vel,shadow,cloud,poa,flow,trans,pump,Qaux,Qproc,Qdel,Qloss,Qtrans,Qusef,Tcold,Thot,Tmains,Ttank,Tdel,Vcold,Vhot,Qcol,EffCol,Qsto,Qpeak,Qgross
2018-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.91,2.55,1.0,0.0,0.0,687739.8956925995,0.0,0.0,0.0,0.0,-9.250424948632833,11.671509578430559,0.0,0.0,89.98842140356388,130.0,90.0,89.98842140356388,89.98842140356388,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.26,2.88,1.0,0.0,0.0,687739.8956925995,0.0,0.0,0.0,0.0,-11.168973445919873,11.6711091104039,0.0,0.0,89.98601998969191,130.0,90.0,89.98601998969191,89.98601998969191,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.47,2.67,1.0,0.0,0.0,687739.8956925995,0.0,0.0,0.0,0.0,-11.566882553540935,11.671026052886539,0.0,0.0,89.98552193376464,130.0,90.0,89.98552193376464,89.98552193376464,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.39,2.92,1.0,0.0,0.0,687739.8956925995,0.0,0.0,0.0,0.0,-11.649409348225838,11.671008826664393,0.0,0.0,89.98541863640737,130.0,90.0,89.98541863640737,89.98541863640737,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.43,3.35,1.0,0.0,0.0,687739.8956925995,0.0,0.0,0.0,0.0,-11.6665254978956,11.671005253926623,0.0,0.0,89.98539721241976,130.0,90.0,89.98539721241976,89.98539721241976,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.38,3.57,1.0,0.0,0.0,687739.8956925995,0.0,0.0,0.0,0.0,-11.670075406511076,11.671004512936806,0.0,0.0,89.98539276906072,130.0,90.0,89.98539276906072,89.98539276906072,180.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 06:00:00,3.46,0.0,3.43,0.04,3.58,0.0,3.58,0.0,5.16,3.91,1.0,0.0,3.5999999046325684,687739.8956925995,2.892922452616902,0.0,0.0,0.0,-11.670811661536124,11.671004359254686,5.207260662042022,0.0,89.98539184750308,130.0,90.0,89.98539184750308,89.98539184750308,180.0,0.0,6039.982797240785,0.0,0.0,0.0,0.0
2018-01-01 07:00:00,101.49,74.39,24.63,2.47,238.32,212.58,25.74,911.95,7.95,4.21,0.0,0.0,239.3718402929061,687739.8956925995,20.652253113592057,0.0,0.0,0.0,-11.670964361653489,11.671004327380846,37.17405737013859,0.0,89.985391656371,130.0,90.0,89.985391656371,89.985391656371,180.0,0.0,6039.982826091112,0.0,0.0,0.0,0.0
2018-01-01 08:00:00,369.16,334.29,29.64,5.23,503.64,472.66,30.98,1057.46,11.28,2.52,0.0,0.0,504.29087116368873,687739.8956925995,24.9112773352357,0.0,0.0,0.0,-11.670996031828528,11.671004320770173,44.84030133322418,0.0,89.98539161672998,130.0,90.0,89.98539161672998,89.98539161672998,180.0,0.0,6039.982832074701,0.0,0.0,0.0,0.0
2018-01-01 09:00:00,632.81,593.02,31.99,7.8,751.9,718.46,33.44,1120.06,13.96,1.94,0.0,0.0,752.1314107705203,687739.8956925995,665.2975883611289,0.052941177500199145,0.0,0.0,537.7790582072944,13.012099502386766,1197.5357159299238,600.8024818821847,89.31384714936128,90.67312871801649,90.0,90.22456580036027,90.67312871801649,180.0,0.0,205.176001224233,0.7987998816146943,600.8024818821847,0.0,540.7222336939662
