Ton vapor,,,,consumo agua,,,consumo GN,,
Caldera Loos,Caldera Salcor,Caldera Visa,Desgasificador,Caldera Loos,Caldera Salcor,Caldera Visa,Caldera Loos,Caldera Salcor,Caldera Visa
80.0,1.0,0.0,6.0,85.0,1.2,0.0,"5,462.0",86.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103.0,6.0,0.0,8.0,113.0,7.7,0.0,"7,572.0",794.0,0.0
186.0,3.0,0.0,14.0,197.0,3.3,0.0,"13,421.0",283.0,0.0
155.0,0.0,0.0,11.0,165.0,0.0,0.0,"10,897.0",16.0,0.0
188.0,0.0,0.0,14.0,199.0,0.0,0.0,"13,566.0",168.0,0.0
187.0,0.0,0.0,14.0,202.0,0.0,0.0,"13,479.0",73.0,0.0
106.0,1.0,0.0,12.0,115.0,0.2,0.0,"7,362.0",139.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129.0,1.0,0.0,11.0,144.0,1.0,0.0,"9,478.0",218.0,0.0
264.0,16.0,0.0,19.0,278.0,17.8,0.0,"19,167.0","1,408.0",0.0
239.0,11.0,0.0,17.0,254.0,13.0,0.0,"17,347.0","1,016.0",0.0
253.0,12.0,0.0,18.0,268.0,13.5,0.0,"18,407.0","1,015.0",0.0
212.0,4.0,0.0,15.0,225.0,4.2,0.0,"15,362.0",428.0,0.0
82.0,1.0,0.0,6.0,94.0,1.6,0.0,"5,725.0",144.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130.0,2.0,0.0,14.0,140.0,1.5,0.0,"9,187.0",367.0,0.0
240.0,4.0,0.0,18.0,255.0,4.0,0.0,"17,400.0",402.0,0.0
237.0,4.0,0.0,21.0,252.0,6.1,0.0,"17,251.0",524.0,0.0
145.0,2.0,0.0,10.0,161.0,2.3,0.0,"10,510.0",146.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154.0,6.0,0.0,14.0,166.0,7.4,0.0,"11,092.0","1,162.0",0.0
237.0,8.0,0.0,16.0,250.0,10.3,0.0,"17,028.0",793.0,0.0
210.0,2.0,0.0,14.0,223.0,2.3,0.0,"15,091.0",296.0,0.0
212.0,4.0,0.0,15.0,227.0,4.8,0.0,"15,310.0",450.0,0.0
219.0,6.0,0.0,15.0,232.0,8.1,0.0,"15,707.0",657.0,0.0
111.0,1.0,0.0,9.0,123.0,0.7,0.0,"7,752.0",79.0,0.0
19.0,0.0,0.0,2.0,25.0,0.0,0.0,"1,606.0",24.0,0.0
123.0,3.0,0.0,9.0,131.0,4.2,0.0,"8,788.0",456.0,0.0
213.0,3.0,0.0,15.0,224.0,4.2,0.0,"15,251.0",374.0,0.0
207.0,3.0,0.0,13.0,221.0,3.4,0.0,"14,862.0",358.0,0.0
204.0,2.0,0.0,13.0,218.0,2.3,0.0,"14,676.0",260.0,0.0
198.0,3.0,0.0,12.0,212.0,3.1,0.0,"14,239.0",295.0,0.0
142.0,0.0,0.0,9.0,154.0,0.2,0.0,"10,139.0",89.0,0.0
13.0,0.0,0.0,2.0,19.0,0.0,0.0,"1,103.0",0.0,0.0
117.0,2.0,0.0,10.0,126.0,1.8,0.0,"8,450.0",323.0,0.0
175.0,0.0,0.0,12.0,188.0,0.0,0.0,"12,570.0",0.0,0.0
175.0,0.0,0.0,13.0,186.0,0.0,0.0,"12,492.0",0.0,0.0
171.0,0.0,0.0,13.0,183.0,0.0,0.0,"12,213.0",63.0,0.0
171.0,0.0,0.0,13.0,181.0,0.0,0.0,"12,271.0",105.0,0.0
140.0,0.0,0.0,10.0,157.0,0.0,0.0,"10,300.0",41.0,0.0
10.0,0.0,0.0,3.0,36.0,0.0,0.0,"2,259.0",0.0,0.0
42.0,2.0,0.0,4.0,59.0,0.7,0.0,"3,684.0",264.0,0.0
64.0,0.0,0.0,7.0,73.0,0.2,0.0,"4,586.0",0.0,0.0
35.0,0.0,0.0,4.0,53.0,0.4,0.0,"3,297.0",0.0,0.0
25.0,0.0,0.0,4.0,41.0,1.0,0.0,"2,559.0",0.0,0.0
6.0,0.0,0.0,2.0,13.0,0.0,0.0,917.0,101.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148.0,0.0,0.0,18.0,160.0,4.7,0.0,"10,624.0",0.0,0.0
192.0,0.0,0.0,16.0,202.0,0.0,0.0,"13,608.0",0.0,132.0
208.0,0.0,0.0,15.0,222.0,0.0,0.0,"14,849.0",0.0,0.0
